userName,score,at,content
Achsan Ansori,2,10/21/2023 15:36,"21/10/2023, saya update ke versi 7.2.0 performa aplikasi masih lemot. Nitip pesan ke developer, untuk uji aplikasi android go dg ram 2GB diikutkan biar tahu rasanya performa aplikasi ini. Untuk solusi sebenarnya sederhana, buat dua aplikasi yg satu versi lite (orientasi ke fungsional & performa, tampilan minimalis nggak papa). atau di aplikasi ini ada switch untuk me-non aktifkan efek² aplikasi dan tampilan yg butuh render berat. contoh pada apk shopee/bimatri.."
Yanuar Syam,1,10/27/2023 10:07,"Setelah update malah jadi force close terus. Sebelum update juga sudah berat banget aplikasinya. Entahlah, korporasi sebesar ini gak bisa nge-hire tim teknis yg bener² mumpuni. Gak bisa bedakan antara fungsi dengan penawaran atau tampilan aplikasi. Jadi mereka berpikir aplikasi hebat itu musti berat dan punya interface njelimet 😂"
Farhan Alfariqi,3,10/29/2023 18:38,"Menurut saya, aplikasi sekarang sangat lambat. Hanya untuk scrolling di hal utama frame-nya langsung drop patah-patah. Padahal halaman yang ditampilkan simple hanya dengan kumpulan text. Selain itu, tampilan icon animasi di button Menu tidak smooth. Padahal device saya tergolong device update."
Yeshua's Princess,1,10/28/2023 16:06,"Perasaan 17 Agustus udah lama lewat, koq tampilan aplikasinya masih sama? Pikir setelah di-update bakalan ada perbedaan atau perubahan, ternyata masih sama aja, lambat juga di bagian menu²nya. Bagusan tampilan aplikasi yg lama (sebelum versi 17 Agustus), lebih ringkes & tampilannya user friendly. Yang ini jelek. Nyesel update."
Fernando solafide Napitupulu,2,10/23/2023 22:23,"Paket kuota Apps katanya akan aktif jika paket utama sudah habis, tapi tidak diberi tahu lemot atau tidak. Dan ternyata lemot untuk buka apps(WA, FB, Youtube, IG dan tiktok), gak usah ada pembedaan model gini lah kalau lemot."
Anwar,1,10/21/2023 22:25,"1. Setelah update, aplikasi semakin berat. 2. Program jelajah nusantara jadi sangat berat dan error. Lebih suka desain jelajah nusantara sebelumnya, lebih simpel&ringan. Tolong pertimbangkan untuk kualitas aplikasi ini sangat buruk, tidak ramah HP entry level. Untuk aplikasi Simcard lebih baik jangan kek e commerce oren yg Berat juga wajar krna e commerce, ini aplikasi dipake Semua pengguna tsel, jadi jaris kompetibel, simpel, Dan ringan untuk semua device.gw kasih ☆5 kalo masalah ini sudh difix"
Bintang Nur Fadhlillah,4,10/14/2023 10:05,"Hampir sempurna, minusnya dibagian penayangan jumlah paket, padahal sudah beli tapi tulisannya masih 0. Mau di refresh berkali kali baru terlihat jumlah paketnya... Dan juga saat mau buka aplikasi selalu saja macet entah kenapa, padahal sinyal bagus..."
DENI R HULU,2,10/11/2023 23:52,"Aplikasi : sudah cukup berubah lebih baik. Daily chek-in : sekarang hadiah dari chek-in malah lebih ribet kenapa harus mengakumulasi kan pulsa saat mengklaim bonus stamp paket data. Jaringan: entah kenapa jaringan sekarang semakin tidak stabil padahal posisi tower dekat Bahkan di tempat lokasi yang tinggi sekalipun jaringan tetap tidak stabil. Sering tiba""Kehilangan jaringan total saat menonton. -Tambahan: tolong tanggapi keluhan pelanggan. Harga kuota mahal, kualitas jaringan sangat buruk.-"
Rifqi Wirma putra,1,10/3/2023 23:54,"Habis update bukannya makin bagus, malah makin berat, bahkan cuma mentok di home page dan halaman kosong, mau liat pulsa dan kuota pun gabisa, katanya ""koneksi internet bermasalah"" Padahal buka yang lain lancar aja, mending versi yang dulu, simpel dan lancar, sekarang, ui keren ux nya jelek"
agustinushv,1,10/4/2023 9:36,"Semenjak diupdated, aplikasi suka ngebug. Ketika komplain, katanya belum ada laporan dan bersihin canche. Sdh hape baru dgn OS terbaru, jg masih sama ngebug. Sdh off kan suara notifikasi, tp masih saja muncul suara ringtone telkomsel. Coba dong benerin aplikasinya jangan suka ngebug / not responding. Lihat semua rating di google PS terbaru semua bintang 1. Apa masih mau dibilang ga ada komplain ? Perbaiki dong sudah sangat lama case nya."
Dann Chak,2,10/26/2023 20:36,After update aplikasi berhenti terus.. Tolong lebih dievaluasi serta dibuat untuk lebih simple aplikasinya.. aplikasi tidak melulu harus tampilan menarik tapi dapat dibuka serta berfungsi dengan baik tanpa ada trouble yang berulang.. semoga menjadi perhatian untuk develop MyTelkomsel!
Sariyati Sariyati,1,10/28/2023 10:37,"Setelah update justru tambah berat nih aplikasi, untuk tambah nomor SIM juga gak bisa, padahal sebelum nya 1 apk bisa untuk 2 nomor. Dan di HP yg satunya malah nge-bug gak bisa dibuka. Apa tidak di uji coba dulu ya ketika hendak meluncurkan aplikasi?"
Rhu Ryu,1,10/26/2023 12:24,Ini ga tau cuma saya doang apa gimana.. cuma kok sekarang jaringannya kaya lemot gitu.. gak kaya dulu.. buat ng game sering lag.. masuk kamar jaringan kadang 2 bar doang.. dulu gak kayak gini telkomsel.. kalo kaya gini mah ga sesuai sama harga kuota.. lebih mahal dari operator lain.. tapi sinyal sama aja.. SINYAL 2 BAR KUOTA MAHAL 8 Th pake telkomsel walaupun sering ganti nomer.. tapi taun ini bad banget sinyalnya..
Muhammad Revanza,1,10/3/2023 9:11,"Versi lama lebih simpel, walaupun tampilan yg sekarang bagus. Tapi ux sangattt burukk, pertama susah buat mau cek kuota atau beli kuota, karna sangat berbeda dengan sebelumnya. Kedua dan sangat fatal pembayaran melalui shopeepay tidak bisa, setiap mau lewat shopee selalu dibawa ke playstore:) padahal udah terupdate"
Connie Magdalena,1,9/17/2023 14:33,"Maaf banget, bintang saya turunkan sejak update aplikasi malah ngga bisa terbuka sama sekali karena aplikasi terlalu berat untuk kelas HP menengah kebawah. Kalau program udah dibuat menjadi ringan sehingga mudah diakses, saya kembalikan lagi bintang sesuai performa aplikasinya."
Nor,1,9/24/2023 7:13,"Setelah update tambah berat aplikasinya. Saya lebih suka versi yang lama karna lebih simple digunakan serta setelah update ini transfer pulsa tidak terhitung tambah masa akhif, padahal sebelumnya masih terhitung. Saya sangatt kecewa atas banyak nya perubahan, menurut saya bukan nya semakin baik untuk customer malah semakin memberatkan. Contoh nya harga peket internet yang mahal dan menurut saya tidak sesuai. Terimakasih"
santo juns,1,9/30/2023 9:41,"Aplikasi nya besar, walaupun di hp ngebut masih loading, habis beli paket mesti refresh beberapa kali baru muncul paket yang terbeli, sekelas perusahaan besar bisa begitu. Belum lagi jaringan nya lemot sekarang. Daerah Tangsel, Ciputat. Lemot sekali... berbanding jauh dengan operator XL, speed test bisa tembus 66mb/S. Bertahun tahun begini saja, Karena no sudah pakai lama mau tidak mau di pakai terus, kalau tidak tak ganti operator lain. Jaman sudah modern 2023, mana di kota bisa begini lemot😅"
Abie Hidayat,1,9/27/2023 19:32,"Kenapa tidak dibuat simple dan sederhana saja aplikasinya? Toh hanya untuk membeli kuota dan cek paket saja. UI bagus, tapi UXnya buruk banget, jelek, force close terus untuk hp RAM 4gb, setelah update bukannya lebih nyaman digunakan, malah makin BURUK."
Ichlasul Amal Firmansyah,1,10/21/2023 20:02,"Minta update terus, tapi jaringan gak stabil.. di buat main game FPS drop mulu padahal kondisi di luar ruangan dan data masih 4GB lebih. Telkomsel parah cuma menguntungkan brand doang, menang nama doang tapi sinyal gak sebanding dengan brand lain"
Fahim #86,1,10/3/2023 23:58,"Sering error nih app padahal provider jaringan besar masa iya apknya sering ga bisa dibuka, kebanyakan animasi slide yang bikin lama dan gak smooth pakainya,dan minimal kalau maintenance dikasih notif/pesan dulu dan kasih tau kapan selesainya masa iya selalu mendadak! kasih notif/pesan ke penggunanya sesulit itu kah? Padahal kalau ada penawaran² ga jelas sering tuh muncul. *Kalau bisa kirim foto di ulasan play store saya kasih SS kendala saya di App ini, karena tidak bisa jadi cuma bisa ketik."
Don Krueger,1,10/28/2023 7:32,"Sampah bgt ini aplikasi. Semakin update semakin lemot, crash gak jelas. Pdhl fitur""nya gak ada yg special tp knp crash terus. Apa developernya masuk via jalur dalem makanya gak punya skill."
Zul Rifly,4,10/20/2023 17:40,"Hanya sedikit saran yaitu mengenai penggunaan kuota/data, tolong sediakan fitur pilihan kuota mana yang diapakai terlebih dahulu atau mode lock kuota,untuk kuota yang terbagi, agar bisa menyesuaikan sama kebutuhan pelanggan, selebihnya sudah oke."
